Area_SqFt,Rooms,Build_Year,Location,Street_Type,Furnishing,Property_Type,Has_Pool,Price
,7,2005,Kanpur,Residential Lane,Unfurnished,Duplex,Yes,568631
2285.485032,5,2018,Lucknow,Main Road,Furnished,Apartment,Yes,690971
1354.951543,2,1993,Gurugram,Corner Plot,Furnished,Duplex,No,448660
2400.915546,5,2021,Lucknow,Main Road,Furnished,Villa,No,781802
2705.492066,7,1998,Indore,Corner Plot,Unfurnished,Apartment,No,624964
2591.749319,3,2009,Delhi,Corner Plot,Semi-Furnished,Apartment,No,660279
2357.804586,7,2009,Noida,Gated Society,Furnished,Apartment,No,705924
2231.157459,5,1997,Lucknow,Residential Lane,Furnished,Duplex,No,626943
1288.961924,4,1989,Noida,Main Road,Furnished,Duplex,No,506229
2281.767101,2,2007,Gurugram,Gated Society,Furnished,Apartment,Yes,645451
2366.347343,5,2017,Jaipur,Main Road,Furnished,Apartment,No,618440
2469.849922,7,2023,Prayagraj,Corner Plot,Semi-Furnished,Independent House,No,664271
2409.197192,7,1998,Prayagraj,Gated Society,Furnished,Apartment,Yes,637727
1984.639357,6,1994,Indore,Gated Society,Furnished,Apartment,No,556562
5505.772234,5,1995,Lucknow,Gated Society,Semi-Furnished,Apartment,No,1284263.922
2842.519747,4,2013,Kanpur,Residential Lane,Unfurnished,Duplex,No,651321
2828.27955,5,2013,Noida,Residential Lane,Furnished,Villa,No,817116
2189.908039,4,2006,Jaipur,Main Road,Furnished,Independent House,No,638196
2452.984679,2,2007,Prayagraj,Main Road,Semi-Furnished,Independent House,No,565138
2132.342342,2,1989,Indore,Residential Lane,Semi-Furnished,Duplex,No,506117
1864.01056,3,1989,Kanpur,Residential Lane,Furnished,Apartment,No,440623
2533.922105,3,1999,Delhi,Corner Plot,Semi-Furnished,Villa,Yes,812307
2450.738275,7,1994,Lucknow,Highway Facing,Unfurnished,Independent House,No,667703
3040.657635,5,2018,Jaipur,Main Road,Unfurnished,Apartment,Yes,746659
1625.354943,5,2009,Lucknow,Corner Plot,Furnished,Apartment,Yes,469769
2369.073684,4,2016,Jaipur,Main Road,Furnished,Independent House,No,675517
1517.274551,7,1992,Kanpur,Corner Plot,Furnished,Apartment,No,458809
1744.345477,5,2013,Noida,Gated Society,Semi-Furnished,Apartment,No,558550
2192.638461,5,1997,Prayagraj,Gated Society,Semi-Furnished,Independent House,No,600130
2289.468499,2,2021,Noida,Residential Lane,Furnished,Apartment,Yes,597091
2085.037208,3,2018,Noida,Gated Society,Semi-Furnished,Independent House,Yes,644197
,6,1993,Kanpur,Residential Lane,Unfurnished,Apartment,No,418266
1768.305928,3,2004,Gurugram,Highway Facing,Unfurnished,Apartment,No,464564
3149.830118,7,2019,Kanpur,Gated Society,Furnished,Apartment,Yes,837376
1971.093298,2,1991,Kanpur,Highway Facing,Furnished,Independent House,No,461943
3223.723578,7,2008,Noida,Highway Facing,Furnished,Villa,No,981429
1749.990614,7,2008,Kanpur,Residential Lane,Semi-Furnished,Villa,No,592138
700,5,2014,Jaipur,Main Road,Furnished,Apartment,No,340017
3032.397359,4,2017,Lucknow,Corner Plot,Unfurnished,Apartment,No,677986
2831.075132,4,2023,Indore,Gated Society,Furnished,Apartment,No,708317
2277.487436,6,2003,Kanpur,Residential Lane,Unfurnished,Villa,No,605316
2482.480059,3,1989,Noida,Corner Plot,Furnished,Duplex,No,660858
2254.948049,5,1990,Kanpur,Corner Plot,Furnished,Apartment,Yes,579518
2170.44052,6,2014,Noida,Corner Plot,Furnished,Apartment,No,647913
1611.912173,2,1997,Delhi,Gated Society,Unfurnished,Apartment,No,417087
2779.181588,6,1988,Gurugram,Residential Lane,Semi-Furnished,Independent House,No,768052
2837.885185,7,2021,Noida,Gated Society,Semi-Furnished,Apartment,No,779435
1466.763479,2,2005,Delhi,Gated Society,Furnished,Apartment,No,530484
1795.974633,7,2017,Prayagraj,Gated Society,Unfurnished,Independent House,No,543491
2297.042855,2,2018,Kanpur,Residential Lane,Semi-Furnished,Apartment,Yes,523061
1953.39088,4,2023,Indore,Corner Plot,Semi-Furnished,Duplex,No,606991
2192.518441,6,2004,Lucknow,Corner Plot,Semi-Furnished,Apartment,No,584486
2001.739628,2,2024,Noida,Main Road,Furnished,Apartment,No,564119
2685.710377,2,2019,Lucknow,Main Road,Semi-Furnished,Apartment,Yes,639627
1453.428372,5,1994,Lucknow,Corner Plot,Unfurnished,Apartment,Yes,398487
2777.309798,7,2024,Lucknow,Corner Plot,Semi-Furnished,Apartment,No,684666
1338.88047,4,2024,Lucknow,Main Road,Furnished,Apartment,No,454958
2629.989621,6,1988,Kanpur,Highway Facing,Unfurnished,Villa,No,699816
,6,2005,Noida,Corner Plot,Unfurnished,Duplex,No,697713
1725.943792,6,2009,Lucknow,Main Road,Unfurnished,Apartment,Yes,507814
2361.366676,5,2013,Kanpur,Residential Lane,Furnished,Villa,No,696897
1469.634917,3,2006,Lucknow,Residential Lane,Furnished,Apartment,No,406431
2333.997875,4,2018,Jaipur,Residential Lane,Semi-Furnished,Independent House,No,599056
1364.853081,6,1995,Gurugram,Highway Facing,Furnished,Independent House,No,544063
2025.334741,5,2023,Lucknow,Corner Plot,Unfurnished,Apartment,Yes,534602
2076.659663,3,2009,Jaipur,Gated Society,Furnished,Apartment,Yes,574704
2482.649317,5,2001,Gurugram,Corner Plot,Semi-Furnished,Apartment,No,646509
2349.983786,4,2011,Kanpur,Corner Plot,Semi-Furnished,Apartment,No,557104
2919.168346,4,2004,Indore,Residential Lane,Unfurnished,Apartment,Yes,636259
2497.478072,5,2004,Kanpur,Main Road,Furnished,Villa,No,751072
2562.659322,7,2022,Lucknow,Main Road,Furnished,Apartment,Yes,731122
1163.139971,4,2019,Kanpur,Main Road,Furnished,Duplex,Yes,477632
2435.572129,7,2006,Jaipur,Gated Society,Unfurnished,Apartment,No,648987
1305.6939,7,2005,Prayagraj,Corner Plot,Furnished,Independent House,No,464099
2299.872765,2,1988,Noida,Main Road,Furnished,Independent House,No,638942
1583.767537,4,2010,Kanpur,Gated Society,Semi-Furnished,Independent House,Yes,519099
1642.069618,5,2012,Lucknow,Gated Society,Unfurnished,Apartment,Yes,506464
2085.802921,,1985,Kanpur,Main Road,Furnished,Apartment,No,428945
2643.610297,4,1985,Prayagraj,Main Road,Semi-Furnished,Independent House,No,620559
1491.628936,2,1997,Delhi,Main Road,Furnished,Apartment,No,412927
2029.935008,6,1993,Delhi,Main Road,Unfurnished,Independent House,No,610049
2307.456406,6,1995,Gurugram,Gated Society,Unfurnished,Apartment,Yes,679206
3014.312431,6,1996,Delhi,Gated Society,Semi-Furnished,Duplex,No,857208
2578.32483,7,2007,Jaipur,Main Road,Semi-Furnished,Independent House,No,722452
2052.308144,5,2002,Jaipur,Corner Plot,Semi-Furnished,Duplex,Yes,606174
1279.055655,2,2023,Prayagraj,Main Road,Semi-Furnished,Duplex,No,392299
2230.566558,4,1993,Lucknow,Highway Facing,Semi-Furnished,Apartment,No,554545
1570.950586,2,1996,Delhi,Gated Society,Semi-Furnished,Duplex,No,540125
1886.419766,2,2007,Kanpur,Corner Plot,Semi-Furnished,Duplex,No,501488
6170.583006,2,2022,Lucknow,Corner Plot,Unfurnished,Villa,No,1265986.684
1199.380639,3,2020,Indore,Residential Lane,Furnished,Apartment,No,340411
1669.57766,6,1994,Lucknow,Highway Facing,Furnished,Apartment,No,462381
1274.108994,7,1989,Indore,Corner Plot,Semi-Furnished,Independent House,No,420434
2215.3733,6,1988,Kanpur,Highway Facing,Semi-Furnished,Apartment,Yes,562495
1207.920218,6,2021,Prayagraj,Highway Facing,Unfurnished,Independent House,No,398436
1353.183414,7,1988,Delhi,Main Road,Semi-Furnished,Apartment,No,461020
2561.064667,4,2018,Gurugram,Residential Lane,Furnished,Apartment,No,664358
1111.385104,5,2008,Prayagraj,Residential Lane,Semi-Furnished,Apartment,No,329712
2805.527799,3,2003,Prayagraj,Corner Plot,Unfurnished,Independent House,Yes,688445
3115.44214,7,1996,Kanpur,Highway Facing,Semi-Furnished,Apartment,Yes,774294
2001.095097,3,1996,Gurugram,Highway Facing,Semi-Furnished,Apartment,No,544019
2171.389171,3,2020,Delhi,Highway Facing,Semi-Furnished,Independent House,No,672398
2780.831245,7,2011,Gurugram,Corner Plot,Unfurnished,Independent House,No,775968
1637.224729,7,1987,Prayagraj,Gated Society,Unfurnished,Apartment,No,423201
3276.385002,4,1987,Noida,Gated Society,Semi-Furnished,Villa,No,879204
1708.107548,2,2014,Gurugram,Residential Lane,Semi-Furnished,Villa,Yes,595748
2598.802683,2,1999,Indore,Gated Society,Unfurnished,Villa,Yes,716676
2392.044897,2,2018,Indore,Corner Plot,Semi-Furnished,Apartment,Yes,583847
1764.169043,5,1997,Noida,Gated Society,Unfurnished,Independent House,No,542807
1945.202074,3,2000,Noida,Residential Lane,Semi-Furnished,Independent House,No,525186
2434.5727,4,1992,Indore,Highway Facing,Furnished,Independent House,No,607920
2294.666755,,1997,Prayagraj,Highway Facing,Semi-Furnished,Apartment,No,581487
2204.380355,7,1994,Indore,Corner Plot,Semi-Furnished,Independent House,No,627455
1339.297647,6,2008,Kanpur,Corner Plot,Furnished,Villa,No,536364
2185.934128,7,2018,Noida,Highway Facing,Furnished,Apartment,Yes,657825
2588.749586,7,2022,Indore,Residential Lane,Semi-Furnished,Apartment,No,669520
2301.695449,3,1988,Jaipur,Highway Facing,Semi-Furnished,Duplex,No,552552
2414.755667,6,2001,Noida,Gated Society,Semi-Furnished,Independent House,No,712198
2487.234025,6,2021,Lucknow,Highway Facing,Unfurnished,Independent House,No,640407
1860.291458,4,2003,Noida,Main Road,Semi-Furnished,Duplex,No,575363
,3,1998,Delhi,Corner Plot,Unfurnished,Apartment,No,277504
1009.407162,3,2000,Kanpur,Highway Facing,Semi-Furnished,Independent House,No,339788
2556.475498,6,2018,Indore,Corner Plot,Semi-Furnished,Apartment,No,651971
1545.823459,7,1985,Lucknow,Highway Facing,Semi-Furnished,Apartment,No,457816
2222.505546,5,1994,Prayagraj,Residential Lane,Furnished,Apartment,Yes,538612
2080.080267,7,2001,Lucknow,Gated Society,Semi-Furnished,Duplex,No,604316
3309.84938,5,2012,Delhi,Corner Plot,Unfurnished,Apartment,No,806467
2069.267681,7,1991,Prayagraj,Main Road,Unfurnished,Independent House,Yes,589328
1518.491108,4,2020,Lucknow,Highway Facing,Furnished,Duplex,No,486913
2568.620944,6,2006,Indore,Highway Facing,Semi-Furnished,Duplex,Yes,735937
1859.036197,5,2007,Lucknow,Residential Lane,Unfurnished,Apartment,No,487759
3369.539574,4,1999,Kanpur,Main Road,Furnished,Independent House,No,804911
2658.094631,2,1994,Gurugram,Highway Facing,Unfurnished,Independent House,No,635589
2817.575175,5,2022,Lucknow,Main Road,Unfurnished,Independent House,No,722279
1601.005936,3,2022,Jaipur,Gated Society,Unfurnished,Duplex,No,500176
2560.05979,7,2002,Kanpur,Gated Society,Semi-Furnished,Independent House,No,707935
2168.31562,6,2017,Gurugram,Gated Society,Semi-Furnished,Apartment,Yes,712315
1781.071487,5,2019,Indore,Highway Facing,Unfurnished,Independent House,No,507771
1966.922974,4,2007,Kanpur,Residential Lane,Unfurnished,Apartment,Yes,436734
2434.237963,6,1992,Lucknow,Main Road,Semi-Furnished,Villa,No,715307
2368.307919,6,1994,Lucknow,Corner Plot,Furnished,Independent House,No,669879
1817.380742,3,1992,Kanpur,Gated Society,Furnished,Apartment,No,440413
4122.732784,2,1987,Prayagraj,Highway Facing,Furnished,Apartment,No,783551
2630.560441,6,2013,Gurugram,Residential Lane,Semi-Furnished,Apartment,No,663785
2207.850187,4,1989,Delhi,Residential Lane,Semi-Furnished,Apartment,Yes,581842
3125.950574,4,2005,Noida,Highway Facing,Furnished,Apartment,No,742183
2095.983785,5,2007,Jaipur,Residential Lane,Furnished,Independent House,No,608667
1897.103342,7,2012,Gurugram,Corner Plot,Furnished,Duplex,No,665807
1703.161083,4,2024,Lucknow,Residential Lane,Unfurnished,Apartment,Yes,455563
